Feature_002,Feature_003,Feature_004,Feature_005,Feature_006,Feature_007,Feature_008,Feature_009,Feature_010,Feature_011,Feature_012,Feature_013,Feature_014,Feature_015,Feature_016,Feature_017,Feature_018,Feature_019,Feature_020,Feature_023,Feature_024,Feature_025,Feature_026,Feature_028,Feature_029,Feature_030,Feature_031,Feature_001__time_bucket,Feature_021,Feature_022,Feature_027,Feature_001__hour,Missing_Count,Feature_022_is_outlier
Tuesday,Over 51,Male,Above high school,Employee,1-2yr,Automobile,Governmental,1-2yr,No defect,Church areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,evening,1.0,1.0,,23.0,4.0,0.0
Monday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,__MISSING__,__MISSING__,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,T Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside-parked vehicles,Going straight,Driver or rider,Female,18-30,Self-employed,Normal,Not a Pedestrian,Moving Backward,morning,1.0,1.0,3.0,11.0,2.0,0.0
Wednesday,18-30,Male,Junior high school,Employee,1-2yr,Public (> 45 seats),Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Not a Pedestrian,Driving carelessly,afternoon,1.0,1.0,,17.0,6.0,0.0
Monday,18-30,Male,Elementary school,Employee,5-10yr,Pick up upto 10Q,Owner,__MISSING__,__MISSING__,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,No priority to vehicle,evening,2.0,1.0,3.0,18.0,2.0,0.0
Saturday,Over 51,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,Owner,__MISSING__,__MISSING__,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Earth roads,Dry,Darkness - lights lit,Normal,Rollover,Going straight,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Not a Pedestrian,No priority to pedestrian,afternoon,1.0,1.0,,17.0,8.0,0.0
Friday,Over 51,Male,__MISSING__,__MISSING__,__MISSING__,Automobile,Owner,__MISSING__,No defect,School areas,Undivided Two way,Tangent road with flat terrain,__MISSING__,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Other,__MISSING__,__MISSING__,__MISSING__,Student,Normal,Not a Pedestrian,Changing lane to the right,afternoon,2.0,3.0,,13.0,9.0,0.0
Thursday,Under 18,Male,Junior high school,Employee,Above 10yr,__MISSING__,Owner,5-10yrs,No defect,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Moving Backward,Passenger,Male,Over 51,Driver,Normal,Not a Pedestrian,Overtaking,evening,3.0,4.0,3.0,19.0,1.0,1.0
Saturday,31-50,Male,Junior high school,Employee,No Licence,Public (13?45 seats),Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,Reversing,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,Driving carelessly,afternoon,2.0,2.0,3.0,17.0,0.0,0.0
Wednesday,__MISSING__,Male,Junior high school,Employee,1-2yr,Public (12 seats),Governmental,__MISSING__,No defect,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Other,Pedestrian,Male,Under 18,Self-employed,Normal,Crossing from driver's nearside,No distancing,evening,2.0,2.0,3.0,19.0,2.0,0.0
Monday,18-30,__MISSING__,Junior high school,Owner,2-5yr,Taxi,Owner,__MISSING__,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Cloudy,Vehicle with vehicle collision,Going straight,Driver or rider,Male,18-30,__MISSING__,__MISSING__,Not a Pedestrian,Moving Backward,afternoon,1.0,1.0,3.0,15.0,4.0,0.0
Thursday,__MISSING__,Male,__MISSING__,Employee,2-5yr,Automobile,Owner,Above 10yr,No defect,Office areas,other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Female,31-50,Driver,Normal,Not a Pedestrian,No distancing,afternoon,2.0,1.0,3.0,16.0,2.0,0.0
Tuesday,31-50,Male,Junior high school,Employee,Above 10yr,Public (12 seats),__MISSING__,__MISSING__,__MISSING__,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Reversing,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Changing lane to the right,afternoon,2.0,1.0,,15.0,7.0,0.0
Friday,18-30,Male,High school,Employee,Above 10yr,Public (13?45 seats),Owner,Above 10yr,__MISSING__,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Passenger,Male,Under 18,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,evening,2.0,2.0,3.0,21.0,1.0,0.0
Friday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Governmental,2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,No priority to vehicle,evening,2.0,1.0,,18.0,4.0,0.0
Sunday,__MISSING__,Male,Junior high school,Employee,5-10yr,Automobile,Owner,2-5yrs,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Reversing,Pedestrian,Female,31-50,__MISSING__,Normal,"Walking along in carriageway, facing traffic",No priority to pedestrian,morning,2.0,3.0,3.0,11.0,2.0,0.0
Monday,31-50,Male,Junior high school,Employee,5-10yr,__MISSING__,Owner,__MISSING__,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,afternoon,2.0,6.0,3.0,16.0,2.0,1.0
Friday,18-30,__MISSING__,Junior high school,Employee,2-5yr,Automobile,Owner,__MISSING__,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,Going straight,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Not a Pedestrian,Changing lane to the right,night,1.0,4.0,,4.0,8.0,1.0
Sunday,18-30,Male,Elementary school,Employee,5-10yr,__MISSING__,Owner,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Passenger,Male,31-50,Driver,Normal,Not a Pedestrian,No priority to vehicle,evening,2.0,1.0,3.0,21.0,5.0,0.0
Tuesday,Over 51,Male,Junior high school,Employee,5-10yr,Automobile,Owner,__MISSING__,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,Turnover,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Driving carelessly,afternoon,1.0,1.0,,16.0,5.0,0.0
Sunday,Over 51,Male,Junior high school,Employee,2-5yr,Public (> 45 seats),Owner,__MISSING__,No defect,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,No priority to vehicle,afternoon,3.0,3.0,,13.0,5.0,0.0
Wednesday,18-30,Male,__MISSING__,Owner,5-10yr,Automobile,Owner,__MISSING__,__MISSING__,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,No distancing,afternoon,2.0,2.0,,13.0,7.0,0.0
Monday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,1-2yr,__MISSING__,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Reversing,Pedestrian,Male,31-50,Other,Normal,Crossing from offside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,afternoon,2.0,1.0,3.0,16.0,1.0,0.0
Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,1-2yr,__MISSING__,Other,__MISSING__,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Collision with pedestrians,Going straight,Driver or rider,Male,18-30,Self-employed,Normal,Not a Pedestrian,Getting off the vehicle improperly,afternoon,1.0,1.0,3.0,12.0,2.0,0.0
Tuesday,31-50,Male,Junior high school,Owner,5-10yr,Stationwagen,Owner,5-10yrs,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Reversing,Driver or rider,Female,31-50,__MISSING__,__MISSING__,Not a Pedestrian,Changing lane to the left,afternoon,2.0,1.0,3.0,17.0,2.0,0.0
Monday,31-50,Male,Junior high school,Owner,Above 10yr,Public (> 45 seats),Owner,Above 10yr,No defect,Office areas,other,Tangent road with flat terrain,Y Shape,__MISSING__,Dry,Daylight,Normal,__MISSING__,Going straight,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,No priority to pedestrian,afternoon,2.0,1.0,,17.0,6.0,0.0
Monday,18-30,Male,Junior high school,Employee,Above 10yr,Stationwagen,Governmental,__MISSING__,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,__MISSING__,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,31-50,__MISSING__,__MISSING__,Not a Pedestrian,Changing lane to the left,afternoon,2.0,1.0,3.0,17.0,4.0,0.0
Wednesday,Over 51,Male,Elementary school,Owner,Above 10yr,Automobile,Owner,__MISSING__,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Overtaking,Passenger,Male,Under 18,Driver,Normal,Not a Pedestrian,Changing lane to the right,evening,3.0,1.0,3.0,19.0,1.0,0.0
Tuesday,Over 51,Male,Junior high school,Employee,Below 1yr,__MISSING__,Owner,__MISSING__,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,18-30,__MISSING__,__MISSING__,Not a Pedestrian,Changing lane to the right,evening,2.0,1.0,3.0,19.0,4.0,0.0
Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Office areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Pedestrian,Female,Over 51,Other,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,evening,2.0,1.0,2.0,20.0,0.0,0.0
Wednesday,18-30,Male,Elementary school,Employee,Below 1yr,__MISSING__,Owner,2-5yrs,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Waiting to go,Driver or rider,Male,18-30,__MISSING__,__MISSING__,Not a Pedestrian,No distancing,evening,2.0,2.0,3.0,18.0,3.0,0.0
Tuesday,Under 18,Male,Junior high school,Employee,2-5yr,Motorcycle,Governmental,__MISSING__,No defect,School areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Self-employed,Normal,Not a Pedestrian,No distancing,afternoon,1.0,1.0,,13.0,5.0,0.0
Tuesday,__MISSING__,Female,Junior high school,Employee,__MISSING__,Lorry (41?100Q),Owner,1-2yr,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,18-30,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,afternoon,2.0,1.0,3.0,14.0,2.0,0.0
Monday,18-30,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,__MISSING__,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,__MISSING__,Earth roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,Moving Backward,Passenger,Male,31-50,Driver,Normal,Not a Pedestrian,No priority to vehicle,morning,2.0,3.0,3.0,11.0,2.0,0.0
Thursday,18-30,Male,Elementary school,Employee,Below 1yr,Lorry (11?40Q),Owner,__MISSING__,No defect,Other,Double carriageway (median),Steep grade downward with mountainous terrain,__MISSING__,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Other,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Overloading,afternoon,2.0,2.0,,15.0,6.0,0.0
Wednesday,18-30,Male,Junior high school,Employee,Below 1yr,Long lorry,Owner,1-2yr,__MISSING__,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Moving Backward,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,Changing lane to the left,afternoon,2.0,3.0,3.0,14.0,1.0,0.0
Saturday,18-30,Male,High school,Employee,5-10yr,Public (> 45 seats),Owner,Above 10yr,No defect,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Changing lane to the right,evening,2.0,3.0,,18.0,4.0,0.0
Friday,31-50,Male,Junior high school,Employee,2-5yr,Other,Organization,2-5yrs,__MISSING__,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,evening,2.0,1.0,,22.0,6.0,0.0
Saturday,18-30,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Owner,__MISSING__,No defect,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Other,Passenger,Male,Under 18,Driver,Normal,Not a Pedestrian,No priority to vehicle,evening,2.0,1.0,3.0,18.0,1.0,0.0
Monday,__MISSING__,Female,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,__MISSING__,Collision with roadside objects,Going straight,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,Driving carelessly,evening,1.0,1.0,3.0,18.0,2.0,0.0
Sunday,__MISSING__,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Owner,__MISSING__,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,No priority to pedestrian,evening,3.0,1.0,,23.0,6.0,0.0
Wednesday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (11?40Q),Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Rollover,Reversing,Passenger,Male,5,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,evening,2.0,1.0,3.0,18.0,0.0,0.0
Friday,Over 51,Male,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,Changing lane to the right,afternoon,2.0,2.0,3.0,17.0,8.0,0.0
Wednesday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,__MISSING__,Passenger,Male,18-30,Driver,Normal,Not a Pedestrian,No distancing,afternoon,2.0,2.0,3.0,16.0,1.0,0.0
Thursday,18-30,Male,High school,Employee,5-10yr,Long lorry,Owner,2-5yrs,__MISSING__,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,Going straight,__MISSING__,__MISSING__,__MISSING__,Employee,Normal,Not a Pedestrian,Changing lane to the left,evening,2.0,1.0,,19.0,5.0,0.0
Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Above 10yr,__MISSING__,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,__MISSING__,Asphalt roads,Dry,Daylight,Normal,__MISSING__,Going straight,Driver or rider,Male,18-30,__MISSING__,Other,Not a Pedestrian,Changing lane to the left,afternoon,2.0,2.0,3.0,17.0,4.0,0.0
Saturday,31-50,Male,Junior high school,Employee,1-2yr,Other,Governmental,__MISSING__,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,Moving Backward,morning,2.0,4.0,3.0,10.0,1.0,1.0
Wednesday,__MISSING__,Male,Junior high school,Employee,5-10yr,Automobile,Owner,__MISSING__,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,Changing lane to the right,afternoon,2.0,1.0,3.0,13.0,2.0,0.0
Thursday,Under 18,Male,Elementary school,Employee,Below 1yr,Lorry (41?100Q),Owner,__MISSING__,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Normal,Not a Pedestrian,No priority to pedestrian,evening,1.0,4.0,,23.0,6.0,1.0
Friday,31-50,Male,Junior high school,Employee,1-2yr,Public (13?45 seats),Owner,__MISSING__,__MISSING__,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Other,morning,3.0,4.0,,11.0,6.0,1.0
Tuesday,Over 51,Male,High school,Owner,Above 10yr,__MISSING__,Owner,__MISSING__,No defect,Industrial areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Going straight,Driver or rider,Male,31-50,__MISSING__,__MISSING__,Not a Pedestrian,Other,afternoon,1.0,1.0,3.0,17.0,4.0,0.0
Friday,18-30,Male,High school,Employee,5-10yr,Pick up upto 10Q,Owner,__MISSING__,No defect,Outside rural areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,Moving Backward,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,No distancing,evening,2.0,3.0,,22.0,5.0,0.0
Monday,Under 18,Male,Junior high school,Employee,1-2yr,Automobile,Owner,__MISSING__,No defect,Office areas,One way,Tangent road with flat terrain,Y Shape,Other,Wet or damp,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Driver,__MISSING__,Not a Pedestrian,No priority to pedestrian,night,2.0,1.0,,1.0,6.0,0.0
Monday,__MISSING__,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Above 10yr,No defect,Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Overtaking,morning,1.0,1.0,,8.0,5.0,0.0
Friday,18-30,Male,High school,Employee,2-5yr,Motorcycle,Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,18-30,__MISSING__,__MISSING__,Not a Pedestrian,No distancing,evening,1.0,1.0,3.0,22.0,2.0,0.0
Friday,Over 51,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,Above 10yr,__MISSING__,Other,other,Tangent road with flat terrain,No junction,Other,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Female,31-50,__MISSING__,Normal,Not a Pedestrian,Changing lane to the left,night,1.0,1.0,2.0,2.0,2.0,0.0
Saturday,31-50,Male,__MISSING__,__MISSING__,__MISSING__,Automobile,Owner,__MISSING__,__MISSING__,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Pedestrian,Male,31-50,Other,Normal,Unknown or other,No priority to vehicle,afternoon,1.0,1.0,3.0,16.0,5.0,0.0
Saturday,31-50,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,__MISSING__,__MISSING__,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,__MISSING__,Dry,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Not a Pedestrian,Changing lane to the right,afternoon,3.0,2.0,,16.0,9.0,0.0
Sunday,18-30,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,2-5yrs,__MISSING__,Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Reversing,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,Driving to the left,morning,2.0,1.0,3.0,10.0,1.0,0.0
Monday,__MISSING__,Female,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,evening,3.0,1.0,,21.0,5.0,0.0
Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,2-5yrs,__MISSING__,Church areas,other,Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,Other,morning,2.0,2.0,3.0,10.0,1.0,0.0
Tuesday,Over 51,Male,Elementary school,Employee,1-2yr,Public (12 seats),Owner,__MISSING__,7,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Female,31-50,Driver,Normal,Not a Pedestrian,No distancing,evening,2.0,2.0,3.0,20.0,1.0,0.0
Monday,31-50,Male,Junior high school,Owner,2-5yr,Stationwagen,Owner,5-10yrs,__MISSING__,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,__MISSING__,__MISSING__,__MISSING__,Student,Normal,Not a Pedestrian,Changing lane to the right,afternoon,2.0,1.0,,13.0,5.0,0.0
Friday,18-30,Male,Above high school,Employee,1-2yr,Lorry (41?100Q),Owner,1-2yr,__MISSING__,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,__MISSING__,Vehicle with vehicle collision,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,No priority to vehicle,afternoon,2.0,2.0,3.0,13.0,2.0,0.0
Sunday,Over 51,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining and Windy,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Self-employed,Normal,Not a Pedestrian,Moving Backward,evening,2.0,2.0,,20.0,4.0,0.0
Sunday,Over 51,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Above 10yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Going straight,Driver or rider,Male,31-50,Employee,__MISSING__,Not a Pedestrian,No priority to vehicle,morning,2.0,3.0,3.0,11.0,1.0,0.0
Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,__MISSING__,No defect,Residential areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Not a Pedestrian,Changing lane to the right,afternoon,2.0,1.0,,16.0,7.0,0.0
Wednesday,Under 18,Male,Elementary school,Employee,Above 10yr,Lorry (11?40Q),Owner,5-10yrs,__MISSING__,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,Changing lane to the left,evening,3.0,2.0,2.0,18.0,1.0,0.0
Friday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Governmental,1-2yr,No defect,Church areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,afternoon,3.0,1.0,,17.0,4.0,0.0
Saturday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,__MISSING__,__MISSING__,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Not a Pedestrian,No priority to vehicle,evening,1.0,1.0,,21.0,8.0,0.0
Friday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Above 10yr,No defect,School areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Moving Backward,morning,2.0,1.0,,7.0,5.0,0.0
